Trimestre,Estado,Ingreso en millones de dolares
01/10/2019,Chiapas,235.8556
01/01/2020,Chiapas,250.5272
01/04/2020,Chiapas,255.6334
01/07/2020,Chiapas,317.5258
01/10/2020,Chiapas,319.1377
01/01/2021,Chiapas,345.4644
01/04/2021,Chiapas,444.284
01/01/2003,Chihuahua,50.515
01/04/2003,Chihuahua,58.3548
01/07/2003,Chihuahua,67.9352
01/10/2003,Chihuahua,59.8691
01/01/2004,Chihuahua,57.0475
01/04/2004,Chihuahua,76.3738
01/07/2004,Chihuahua,77.639
01/10/2004,Chihuahua,68.3612
01/01/2005,Chihuahua,81.0961
01/04/2005,Chihuahua,103.712
01/07/2005,Chihuahua,102.5278
01/10/2005,Chihuahua,101.8522
01/01/2006,Chihuahua,113.8334
01/04/2006,Chihuahua,130.1335
01/07/2006,Chihuahua,119.058
01/10/2006,Chihuahua,110.9057
01/01/2007,Chihuahua,105.4463
01/04/2007,Chihuahua,115.23
01/07/2007,Chihuahua,121.7652
01/10/2007,Chihuahua,117.7763
01/01/2008,Chihuahua,112.852
01/04/2008,Chihuahua,128.9261
01/07/2008,Chihuahua,120.4845
01/10/2008,Chihuahua,112.5278
01/01/2009,Chihuahua,107.4978
01/04/2009,Chihuahua,105.9515
01/07/2009,Chihuahua,101.5411
01/10/2009,Chihuahua,92.8345
01/01/2010,Chihuahua,97.8417
01/04/2010,Chihuahua,105.8899
01/07/2010,Chihuahua,100.2682
01/10/2010,Chihuahua,93.842
01/01/2011,Chihuahua,97.4327
01/04/2011,Chihuahua,109.3475
01/07/2011,Chihuahua,109.5461
01/10/2011,Chihuahua,102.9709
01/01/2012,Chihuahua,107.7142
01/04/2012,Chihuahua,130.1724
01/07/2012,Chihuahua,118.7217
01/10/2012,Chihuahua,110.2108
01/01/2013,Chihuahua,121.4266
01/04/2013,Chihuahua,138.4651
01/07/2013,Chihuahua,134.5644
01/10/2013,Chihuahua,124.7605
01/01/2014,Chihuahua,133.3558
01/04/2014,Chihuahua,147.6889
01/07/2014,Chihuahua,128.3004
01/10/2014,Chihuahua,144.8547
01/01/2015,Chihuahua,141.7042
01/04/2015,Chihuahua,177.7646
01/07/2015,Chihuahua,172.8966
01/10/2015,Chihuahua,160.4097
01/01/2016,Chihuahua,163.8925
01/04/2016,Chihuahua,183.3595
01/07/2016,Chihuahua,184.9891
01/10/2016,Chihuahua,173.1972
01/01/2017,Chihuahua,187.7753
01/04/2017,Chihuahua,205.5889
01/07/2017,Chihuahua,211.9919
01/10/2017,Chihuahua,220.2941
01/01/2018,Chihuahua,204.5035
01/04/2018,Chihuahua,263.5573
01/07/2018,Chihuahua,261.2205
01/10/2018,Chihuahua,262.5598
01/01/2019,Chihuahua,249.0883
01/04/2019,Chihuahua,302.1997
01/07/2019,Chihuahua,305.7095
01/10/2019,Chihuahua,277.5318
01/01/2020,Chihuahua,285.0273
01/04/2020,Chihuahua,349.1137
01/07/2020,Chihuahua,335.8234
01/10/2020,Chihuahua,308.7654
01/01/2021,Chihuahua,338.5255
01/04/2021,Chihuahua,412.6818
01/01/2003,Ciudad de México,159.7439
01/04/2003,Ciudad de México,203.4132
01/07/2003,Ciudad de México,236.9725
01/10/2003,Ciudad de México,214.6294
01/01/2004,Ciudad de México,187.3776
01/04/2004,Ciudad de México,251.2259
01/07/2004,Ciudad de México,247.4253
01/10/2004,Ciudad de México,235.6437
01/01/2005,Ciudad de México,253.3276
01/04/2005,Ciudad de México,328.8473
01/07/2005,Ciudad de México,347.5536
01/10/2005,Ciudad de México,382.9214
01/01/2006,Ciudad de México,394.7934
01/04/2006,Ciudad de México,386.1937
01/07/2006,Ciudad de México,362.8837
01/10/2006,Ciudad de México,346.5225
01/01/2007,Ciudad de México,248.2769
01/04/2007,Ciudad de México,269.9448
01/07/2007,Ciudad de México,274.5622
01/10/2007,Ciudad de México,265.7777
01/01/2008,Ciudad de México,248.2539
01/04/2008,Ciudad de México,289.1037
01/07/2008,Ciudad de México,269.4708
01/10/2008,Ciudad de México,277.0339
01/01/2009,Ciudad de México,247.7919
01/04/2009,Ciudad de México,249.6891
01/07/2009,Ciudad de México,244.3822
01/10/2009,Ciudad de México,223.9916
01/01/2010,Ciudad de México,224.2872
01/04/2010,Ciudad de México,267.1901
01/07/2010,Ciudad de México,262.1296
01/10/2010,Ciudad de México,245.6721
01/01/2011,Ciudad de México,250.7445
01/04/2011,Ciudad de México,297.9777
01/07/2011,Ciudad de México,311.5597
01/10/2011,Ciudad de México,291.6427
01/01/2012,Ciudad de México,287.1571
01/04/2012,Ciudad de México,300.2027
01/07/2012,Ciudad de México,240.1006
01/10/2012,Ciudad de México,186.102
01/01/2013,Ciudad de México,299.549
01/04/2013,Ciudad de México,380.1811
01/07/2013,Ciudad de México,367.1149
01/10/2013,Ciudad de México,347.7484
01/01/2014,Ciudad de México,406.7641
01/04/2014,Ciudad de México,436.5493
01/07/2014,Ciudad de México,341.0972
01/10/2014,Ciudad de México,329.5391
01/01/2015,Ciudad de México,252.3952
01/04/2015,Ciudad de México,266.9578
01/07/2015,Ciudad de México,269.6135
01/10/2015,Ciudad de México,284.3088
01/01/2016,Ciudad de México,314.0065
01/04/2016,Ciudad de México,359.0052
01/07/2016,Ciudad de México,370.8367
01/10/2016,Ciudad de México,365.4528
01/01/2017,Ciudad de México,308.1035
01/04/2017,Ciudad de México,327.3466
01/07/2017,Ciudad de México,339.2728
01/10/2017,Ciudad de México,331.2119
01/01/2018,Ciudad de México,302.8225
01/04/2018,Ciudad de México,379.0855
01/07/2018,Ciudad de México,345.4959
01/10/2018,Ciudad de México,409.8275
01/01/2019,Ciudad de México,383.0683
01/04/2019,Ciudad de México,443.6658
01/07/2019,Ciudad de México,458.4224
01/10/2019,Ciudad de México,438.509
01/01/2020,Ciudad de México,480.1652
01/04/2020,Ciudad de México,498.4112
01/07/2020,Ciudad de México,584.5409
01/10/2020,Ciudad de México,578.3983
01/01/2021,Ciudad de México,610.1813
01/04/2021,Ciudad de México,715.8643
01/01/2003,Durango,56.2264
01/04/2003,Durango,68.0159
01/07/2003,Durango,70.7405
01/10/2003,Durango,67.504
01/01/2004,Durango,67.0911
01/04/2004,Durango,87.5094
01/07/2004,Durango,88.8864
01/10/2004,Durango,86.1804
01/01/2005,Durango,83.636
01/04/2005,Durango,104.5778
01/07/2005,Durango,102.1362
01/10/2005,Durango,93.9506
01/01/2006,Durango,95.7312
01/04/2006,Durango,116.9134
01/07/2006,Durango,111.6796
01/10/2006,Durango,104.1717
01/01/2007,Durango,102.9435
01/04/2007,Durango,119.1787
01/07/2007,Durango,119.8897
01/10/2007,Durango,111.0419
01/01/2008,Durango,102.6949
01/04/2008,Durango,120.9582
01/07/2008,Durango,112.8513
01/10/2008,Durango,105.4968
01/01/2009,Durango,97.5578
01/04/2009,Durango,99.2683
01/07/2009,Durango,93.5638
01/10/2009,Durango,84.3969
01/01/2010,Durango,84.4473
01/04/2010,Durango,103.7767
01/07/2010,Durango,97.7085
01/10/2010,Durango,93.17
01/01/2011,Durango,93.266
01/04/2011,Durango,110.6457
01/07/2011,Durango,111.0496
01/10/2011,Durango,101.6582
01/01/2012,Durango,100.5991
01/04/2012,Durango,119.6335
01/07/2012,Durango,108.8925
01/10/2012,Durango,101.9645
01/01/2013,Durango,100.4012
01/04/2013,Durango,122.8904
01/07/2013,Durango,119.2885
01/10/2013,Durango,116.3309
01/01/2014,Durango,106.2887
01/04/2014,Durango,124.9961
01/07/2014,Durango,130.5383
01/10/2014,Durango,129.1464
01/01/2015,Durango,117.1409
01/04/2015,Durango,196.5377
01/07/2015,Durango,145.8666
01/10/2015,Durango,133.918
01/01/2016,Durango,128.5103
01/04/2016,Durango,154.9773
01/07/2016,Durango,163.9028
01/10/2016,Durango,156.5759
01/01/2017,Durango,149.2855
01/04/2017,Durango,181.2834
01/07/2017,Durango,194.5927
01/10/2017,Durango,190.1103
01/01/2018,Durango,159.7752
01/04/2018,Durango,218.4201
01/07/2018,Durango,218.5424
01/10/2018,Durango,212.1512
01/01/2019,Durango,178.7915
01/04/2019,Durango,226.2949
01/07/2019,Durango,248.1987
01/10/2019,Durango,226.1935
01/01/2020,Durango,214.7269
01/04/2020,Durango,240.8553
01/07/2020,Durango,246.2668
01/10/2020,Durango,253.3996
01/01/2021,Durango,246.082
01/04/2021,Durango,323.0532
01/01/2003,Estado de México,230.5399
01/04/2003,Estado de México,280.8131
01/07/2003,Estado de México,288.2926
01/10/2003,Estado de México,306.8104
01/01/2004,Estado de México,282.1747
01/04/2004,Estado de México,382.4993
01/07/2004,Estado de México,406.4079
01/10/2004,Estado de México,374.7064
01/01/2005,Estado de México,353.3164
01/04/2005,Estado de México,462.1955
01/07/2005,Estado de México,474.1299
01/10/2005,Estado de México,475.2358
01/01/2006,Estado de México,452.3239
01/04/2006,Estado de México,572.8749
01/07/2006,Estado de México,544.1694
01/10/2006,Estado de México,509.7796
01/01/2007,Estado de México,485.4589
01/04/2007,Estado de México,562.8682
01/07/2007,Estado de México,587.437
01/10/2007,Estado de México,531.254
01/01/2008,Estado de México,466.5684
01/04/2008,Estado de México,553.8718
01/07/2008,Estado de México,531.5007
01/10/2008,Estado de México,514.7625
01/01/2009,Estado de México,441.9883
01/04/2009,Estado de México,446.9798
01/07/2009,Estado de México,430.8442
01/10/2009,Estado de México,380.9564
01/01/2010,Estado de México,384.4495
01/04/2010,Estado de México,446.127
01/07/2010,Estado de México,424.4336
01/10/2010,Estado de México,382.54
01/01/2011,Estado de México,374.0619
01/04/2011,Estado de México,446.5075
01/07/2011,Estado de México,448.375
01/10/2011,Estado de México,389.4311
01/01/2012,Estado de México,376.1745
01/04/2012,Estado de México,446.6675
01/07/2012,Estado de México,381.4985
01/10/2012,Estado de México,359.4431
01/01/2013,Estado de México,331.9034
01/04/2013,Estado de México,392.9364
01/07/2013,Estado de México,367.0923
01/10/2013,Estado de México,341.0658
01/01/2014,Estado de México,335.7256
